287925165	2021-10-20T10:36:51.000Z	1450772998181556228	 Everytime u travel it’s either Stl or Vegas. U know the lifestyle u be living	{'place_id': 'f8834b23cf9ae9f3'}
879925564668248064	2021-10-20T04:10:20.000Z	1450675728786370562	bro imma time travel back to the Salem witch trials with a 0mm and show them some witchcraft	{'place_id': '99700cd6fc455c13'}
99138746	2021-10-20T02:16:31.000Z	1450647084567339016	I'm at O'Hare Oasis Travel Plaza in Schiller Park, IL 	{'coordinates': {'type': 'Point', 'coordinates': [-87.88328592, 41.95059817]}, 'place_id': '7c9d51a2fd0a7552'}
409468260	2021-10-20T02:02:29.000Z	1450643552044789763	What are we to do as Christians in a culture that is changing constantly?For more info visit:   	{'place_id': 'c8b021ffd0c94ffc'}
16020880	2021-10-20T01:45:58.000Z	1450639395472691204	 I’m familiar with the black tank. Just figure there are better portable potty options than a bucket. Do you plan on traveling to somewhere warm in the winter?	{'place_id': '1d9a5370a355ab0c'}
1385057131553038338	2021-10-20T01:20:51.000Z	1450633074933440514	Holy shit this should be shown on every recruiting visit. If you want to develop, come to Illinois. 	{'place_id': '1d9a5370a355ab0c'}
2749576780	2021-10-20T00:34:10.000Z	1450621327392612355	We’ll be there, but you’d better bring your wide angle lens …we travel big for the best team in all the land! Let’s go Huskies!!! 	{'place_id': 'b8fcb766f3f544fe'}
873339022227025922	2021-10-20T00:12:23.000Z	1450615844128575490	R U Still 👀👀 0 nuru massage I am traveling soon 0🦋 Davenport, IA 0/0🦋 Lafayette, IN 0/0🦋 Binghamton, NY 0/0rd🦋 Las Vegas, NV  0/0rdBringing my nuru gel...🥰Misslisacharms 	{'place_id': '1d9a5370a355ab0c'}
184120900	2021-10-21T23:32:39.000Z	1451330624334217219	I used to speak bein a traveling barber all over my life & its happening now.	{'place_id': '1d9a5370a355ab0c'}
1421541857620803592	2021-10-21T22:06:10.000Z	1451308860170387477	Can’t wait to travel to St. Louis for this Showcase! Check out  this weekend. Love being able to show our skill and play some tough competition.      	{'place_id': 'c4419b2786243b50'}
1302303643983638531	2021-10-21T21:25:14.000Z	1451298558402039808	I think it’s smart. In this age of travel the geographic distinctions mean less than ever. Get your two best squads together and play it off. 	{'place_id': '1d9a5370a355ab0c'}
36125085	2021-10-21T20:44:57.000Z	1451288420505038852	At least here were some free samples to “feast” on for our delayed Southwest flight home to KC.          	{'coordinates': {'type': 'Point', 'coordinates': [-87.74588742, 41.78656582]}, 'place_id': '1d9a5370a355ab0c'}
26524285	2021-10-21T19:43:35.000Z	1451272976909938698	 neighborhood visit today is  — great vibe, biz growth,housing. And a lot where old ambulances go to retire 	{'place_id': '11c8177772160000'}
16629885	2021-10-21T17:31:24.000Z	1451239712585363461	 thank you for making the trip to Chicago and inspiring our group. Your story was exactly what we needed to hear as we travel home today to hug our wives, husbands, and kids. You’ve got a new fan and follower in me. 👍🏼 	{'place_id': '0fc3438a29542000'}
286835391	2021-10-21T17:21:54.000Z	1451237318346563591	So I had a very vivid dream last night about hanging out with Martha Stewart and traveling the US with her. It was pretty epic.	{'place_id': '1d9a5370a355ab0c'}
40530687	2021-10-21T17:12:52.000Z	1451235048896835587	Hey y’all, I made some travel plans that were maybe more than I could afford, so I’m selling some of my vinyl. All of these are in near mint condition. I’m working on figuring out shipping costs but if you see something u want, let me know! 	{'place_id': '9fdc3d1edf51a0a0'}
2379659599	2021-10-21T17:06:38.000Z	1451233476514967552	🌃☕️           @ Chicago, Illinois 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
3131714692	2021-10-21T16:16:14.000Z	1451220794357473290	🎃👻This Saturday, October 0 from 0:0pm-0pm is the  Halloween Hoedown in  ! Be sure to visit us at Safety Village's little houses for Trick or Treating! Looking forward to seeing all of you!   	{'place_id': '000a381c49091836'}
183038223	2021-10-21T14:34:29.000Z	1451195187175182348	I’ve said it once and I’ll say it again on behalf of the business hour employees of America No we will not be coming by to visit “your favorite bar tender” at 0:0pm and “unnamed local shit hole bar” on a Thursday	{'place_id': '1d9a5370a355ab0c'}
