117518230	2020-05-27T19:56:17.000Z	1265733585237168129	 ohare_airport_lovers chicago chicago_and_do go.chicago       visit.chicago enjoyillinois  illinois @ Chicago O'Hare… 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.885934, 41.980642]}}
265090480	2020-05-27T19:54:57.000Z	1265733250959450112	 Lol I got visas, stamps. Whatever it is. Been traveling overseas since I was 0	{'place_id': '5cba3a162965b0e2'}
1214543334628319232	2020-05-27T19:37:07.000Z	1265728762152452096	Our  came in to visit  and is so tired from all the excitement with  He can’t wait to get home and watch  in his awesome show       	{'place_id': '07d9f0a6ef483000'}
359048252	2020-05-27T19:23:21.000Z	1265725298806534144	I miss traveling for work so much smh	{'place_id': '1d9a5370a355ab0c'}
1029793559363416068	2020-05-27T19:03:12.000Z	1265720227695919105	“More than 0 businesses, organizations and institutions have begun planning for  and hospitality industry recovery!” 💙Who’s itching to travel to my beautiful hometown,  🏙☀️ 	{'place_id': '1d9a5370a355ab0c'}
117518230	2020-05-27T18:56:31.000Z	1265718542575570951	Loving my  and is a great feeling seeing it in other countries  ohare_airport_lovers chicago  enjoyillinois visit.chicago  go.chicago travel … 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.885934, 41.980642]}}
825700205181943808	2020-05-27T18:55:19.000Z	1265718240262701062	. Bob and Doug, good luck on you mission. ❤️from 0 year old B🐝. PS I can’t wait until I can fly to space 	{'place_id': '1d9a5370a355ab0c'}
117518230	2020-05-27T18:51:40.000Z	1265717322360250369	Time tunnel  ohare_airport_lovers chicago chicago_and_do  traveling_the_u.s  travel    go.chicago  visit.chicago enjoyillinois… 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.885934, 41.980642]}}
16345775	2020-05-27T18:50:39.000Z	1265717068973965313	I’m trying to resolve some merge conflicts to integrate a branch created in September and America is trying to fly to space. Basically the same difficulty	{'place_id': '70afe532ae3988fb'}
1150861189896966145	2020-05-27T18:50:20.000Z	1265716988443271170	  What about traveling in phase 0?	{'place_id': 'c567a00616152df6'}
104402081	2020-05-27T18:41:09.000Z	1265714675091746816	just booked a trip to Wyoming to visit my bestie!	{'place_id': '1d9a5370a355ab0c'}
18334877	2020-05-27T18:19:15.000Z	1265709166062112769	CIMA is currently recruiting mentees and mentors for the 0 Mentorship Program. The program is free and will run for three months, October 0, 0 - January 0, 0. If you are interested, please visit  	{'place_id': '1d9a5370a355ab0c'}
410453267	2020-05-27T18:04:19.000Z	1265705409580601347	someone replied to one of my tweets saying my amazon wishlist was full of cheap stuff and that i need help in my life. i’m sorry i want a travel spork i can’t help who i am 	{'place_id': '1d9a5370a355ab0c'}
337502666	2020-05-27T17:16:15.000Z	1265693311119101952	all I do is make money and travel baby - leave me alone 🤣☀️✈️	{'place_id': '1d9a5370a355ab0c'}
1035577130472669185	2020-05-27T17:04:05.000Z	1265690250896199681	HBO Max has arrived!!! Visit us at the Bucktown location to learn how to get it free! 💙          	{'place_id': '1d9a5370a355ab0c'}
544415164	2020-05-27T16:39:24.000Z	1265684037621989377	i wanna travel somewhere next month	{'place_id': '653aabd8c2d3e4d2'}
31853596	2020-05-27T16:23:11.000Z	1265679955758899200	The HBO Documentary Films Presentation REAL SEX 0 when they visit Auntie Mame’s House Of Discipline. 	{'place_id': '1d9a5370a355ab0c'}
3868014977	2020-05-27T16:09:03.000Z	1265676400415117320	Come visit the ATT store in HOMEWOOD, IL! Let’s us assist you with getting hooked up with HBO MAX and inquire about how to stream it for FREE today for our AMAZING Unlimited Elite Wireless customers! 	{'place_id': '6db05c8d8e092528'}
1114663621072695298	2020-05-27T15:59:02.000Z	1265673879487471616	Only a few hours out and I am enjoying HBO MAX! Ask me how to get it for free or visit us at AT&T Lincolnwood for more information 😊 this is BOMB 💣 	{'place_id': '1d9a5370a355ab0c'}
1686881419	2020-05-27T15:21:31.000Z	1265664438725758978	Dr. Visit today with my  . 	{'place_id': '07d9eccddf882002'}
770271416105050112	2020-05-27T14:11:55.000Z	1265646921655504896	Visit  Thank you  and everyone at  ! 	{'place_id': '1d9a5370a355ab0c'}
