1102795413176885248	2021-10-08T15:32:57.000Z	1446498861896376363	someone sending my address in my curious cat ok. that’s so easy to find what are u gonna do??? come visit me?? send me a present?	{'place_id': '1d9a5370a355ab0c'}
21973811	2021-10-08T15:28:38.000Z	1446497771813543979	This is the most existential photo bomb I’ve ever seen (Jenny came to visit.) 	{'place_id': '1d9a5370a355ab0c'}
161694696	2021-10-08T15:06:40.000Z	1446492246631661570	Have fun in Vegas this weekend Bears fans. If you get a chance, go near Fremont St and visit Atomic Liquors. It's a bar you'll never forget.	{'place_id': '1d9a5370a355ab0c'}
1440888776541233152	2021-10-08T14:29:40.000Z	1446482935633301510	Last game played  was one of my new favorites  Pan Am! Wow! So tight, beautiful map, travel poster art on the cards. Little planes to mark the routes, and I love the worker placement auction combo.    	{'place_id': '1d9a5370a355ab0c'}
20783720	2021-10-08T14:12:31.000Z	1446478620004962312	“I remember you Sabrina the Teenage Witch…” 😂  will be coming to Chicago next month and we can’t wait! For tix and info on how to join the fun, visit:  	{'place_id': '1d9a5370a355ab0c'}
29532073	2021-10-08T13:40:04.000Z	1446470450817667093	When I was growing up, grandparents would visit our home. Those visits were so important and impressionable to us young kiddos. But something sticks out to me today that I believe is emblematic of the evangelical race crisis.	{'place_id': 'e363b61fbd793d7d'}
487231709	2021-10-08T13:02:11.000Z	1446460917563150337	Today is World Mental Health Day 0.  Your mental health matters. Please visit  for mental health support and services.      	{'place_id': '1d9a5370a355ab0c'}
113779327	2021-10-08T11:02:02.000Z	1446430682826395648	I'd visit for the opportunity to experience your stroke... 😈 on the real 🔥❤️💯 	{'place_id': '1d9a5370a355ab0c'}
1451949230	2021-10-08T07:05:00.000Z	1446371031522947140		{'place_id': '1d9a5370a355ab0c'}
193367994	2021-10-08T04:40:00.000Z	1446334537580040198	VET VISIT RESULTS: trying more meds for Erwin since the antibiotics didn’t get him back to 0%. Little dude did a bad job at providing a urine sample so I’m attempting to get one tonight. It’s still probably nothing serious but naturally I’m worried because he’s my baby.	{'place_id': '1d9a5370a355ab0c'}
1227285698023231489	2021-10-08T04:22:46.000Z	1446330203123372058	There's a dungeon in Yakuza Like A Dragon that goes on way too long to the point I thought I was traveling in circles. I bet people know exactly which one I'm talking about.	{'place_id': '1d9a5370a355ab0c'}
906415765464797184	2021-10-08T03:57:03.000Z	1446323731446517765	     👌🏼👌🏼👌🏼	{'place_id': '8b351eeb91372dc7'}
215222791	2021-10-08T03:41:54.000Z	1446319918090174465	0.0.0 📍 Chicago IL  at the Millennium Park , by : Sir Anish Kapoor ....         	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
769305175785746433	2021-10-08T02:36:53.000Z	1446303555200200747	👚Still have a few shirts left if you didn’t get yours yet.  Please visit the cashier’s office to pick yours up!💞 	{'place_id': '918c943e88cc3e5d'}
1357093711495184385	2021-10-08T02:03:18.000Z	1446295106764648460	Our October Facts travel around the world in my new video! Get in the passenger seat and ride along!                	{'place_id': '7ca9cc3e813b1534'}
14959097	2021-10-08T02:01:37.000Z	1446294681160228868	         He does but often visits me. By visit I mean he was in town for Summer of Littles. 😂	{'place_id': '75f75a3f251f2f1b'}
