2021-09-14T15:12:51.000Z	1437796490840363011	Call & Visit ! Let's chat in-person at any time you can stop by. You're WELCOME.🙋                 	{'place_id': 'b046074b1030a44d'}
2021-09-14T14:57:34.000Z	1437792647050113035	Ppl are truly annoying, why is it always a problem to go to your destination with your feathers but y’all be willing to  travel from west bubble fuck to bring the same damn feathers home. Make it make sense	{'place_id': '011add077f4d2da3'}
2021-09-14T14:57:13.000Z	1437792559548583940	My office is working around the clock to support our neighbors impacted by  and connect them with services. For more information, visit  or call our office at 0-0-0.	{'place_id': '00c39537733fa112'}
2021-09-14T14:57:12.000Z	1437792555547119631	It was great to have Homeland Security  in  last week to visit the  Disaster Recovery Center at After  flooded so much of Queens, the Biden Administration has stepped up to the plate on behalf of our families, and for that we are grateful. 	{'place_id': '00c39537733fa112'}
2021-09-14T14:37:57.000Z	1437787708953436171	We're celebrating our 0rd anniversary! 0 years of putting culture, education, and working class movements at the forefront of what we do. 0 years building with you! We're excited & ready for more.To help sustain our work, visit  or text TPF0 to 0. 	{'place_id': '01a9a39529b27f36'}
2021-09-14T14:36:05.000Z	1437787240869076998	This is our preferred method of travel too! 🐶🧺•              @ East Side Animal Hospital 	{'coordinates': {'type': 'Point', 'coordinates': [-73.96653, 40.75579]}, 'place_id': '01a9a39529b27f36'}
2021-09-14T14:34:47.000Z	1437786914430623749	 Oh don’t worry Elvis I’m sure he will come visit you have a wonderful Tuesday sweetie Elvis 🥰😘🐾	{'place_id': '00c39537733fa112'}
2021-09-14T14:33:38.000Z	1437786625438887943	Great to visit Bronx Health Sciences HS! Principal Bretagna welcoming students back! Shout out to school safety for a great welcome!    	{'place_id': '27485069891a7938'}
2021-09-14T14:30:54.000Z	1437785934427217926	I am interviewing Greg O’Hara, founder of Certares, next week at Skift Global Forum on Sep 0, this will come up. Certares is quickly becoming the behemoth investor/owner in travel, a la Cendant Corp of yore (minus the scandals of course!).  	{'place_id': '00c39537733fa112'}
2021-09-14T14:26:40.000Z	1437784869984251918	 It’s.. Dishonored with time travel? I still don’t know what it is lol	{'place_id': '01a9a39529b27f36'}
2021-09-14T14:23:27.000Z	1437784061842427914	Getting dressed with my window open facing Times Square was my last parting gift to NYC, now as much as I love to travel I’m excited to be coming home! 	{'place_id': '07d9e390b5c82002'}
2021-09-14T14:13:30.000Z	1437781556362420238	 Definitely in my plans to visit. Let’s connect you live here.	{'place_id': '00c39537733fa112'}
2021-09-14T14:11:16.000Z	1437780994329882625	Your 0/0 LCS & Card Show wrapped into one!💯 Trusted & Knowledgeable Sellers💯 Great Deals & Cards💯 Inventory updated daily💯 Fast & Easy TransactionsVisit my shop…✨The Point Sports Cards ✨ 	{'place_id': '00c55f041e27dc51'}
2021-09-14T14:01:44.000Z	1437778597129904132	 European train travel is the best	{'place_id': '01a9a39529b27f36'}
2021-09-14T13:48:40.000Z	1437775307646423051	A quick note to let you all know that we will be closed this evening for a private event. We apologize for any inconvenience.Visit  to make a reservation for another evening this week. 🍴 🍷 Thank you! 	{'coordinates': {'type': 'Point', 'coordinates': [-73.99179, 40.76616]}, 'place_id': '01a9a39529b27f36'}
2021-09-14T13:42:21.000Z	1437773719791865856	It's been a pleasure to see our community rise from the pandemic to share our cultures through running and exerciseI have done my part ☺Samantha is as responsible as she is sweet and caring for all, we are in good hands 🙌 Maria and I will always visit! ❤  	{'place_id': '00c39537733fa112'}
2021-09-14T13:38:57.000Z	1437772863713550345	 Free testing & vaccination at the airport & other travel hubs!	{'place_id': '01a9a39529b27f36'}
2021-09-14T13:12:34.000Z	1437766223148769283	"Hibiscus flowers 0by0 acrylic by artist Gauthier Saintilus.  Place your order today. Sgauthier0  Text message 0-0-0.  Visit "" SaintilusArts "" group on Facebook. "	{'place_id': '011add077f4d2da3'}
2021-09-14T13:06:11.000Z	1437764617082707977	"A man is diving into the waterfalls by artist Gauthier Saintilus.  Visit "" SaintilusArts "" group on Facebook.  Place your order today,  sgauthier0 text message 0-0-0.  Thank you. "	{'place_id': '011add077f4d2da3'}
2021-09-14T12:57:59.000Z	1437762551190900740	  Please visit: 	{'place_id': '011add077f4d2da3'}
2021-09-14T12:27:54.000Z	1437754982200225792	Travel blankets available at our store now!🆒   @ The Scottish Dog 	{'coordinates': {'type': 'Point', 'coordinates': [-74.36061859, 40.54106925]}, 'place_id': '64be9b322be0df48'}
2021-09-14T11:49:00.000Z	1437745190861742080	 Juventus cancelled their tour when he signed. But the criminal case is not proceeding. I don’t know if a civil proceeding would prohibit travel. All depends on the judge in LV at this point.	{'place_id': '011add077f4d2da3'}
2021-09-14T11:09:44.000Z	1437735309643599873	One week left for the most influential conference in global travel, join us in person in NYC or online, Sep 0-0:  	{'place_id': '00c39537733fa112'}
